danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artists
0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,4,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons
0.681,0.84,11,-4.213,0,0.0476,0.248,5.78e-05,0.715,0.326,126.008,audio_features,1dk6uSB25h8rUT1ZSEnJuP,spotify:track:1dk6uSB25h8rUT1ZSEnJuP,https://api.spotify.com/v1/tracks/1dk6uSB25h8rUT1ZSEnJuP,https://api.spotify.com/v1/audio-analysis/1dk6uSB25h8rUT1ZSEnJuP,161076,4,About You,Dubio
0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,46IZ0fSY2mpAiktS3KOqds,spotify:track:46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,224695,4,Easy On Me,Adele
0.686,0.717,2,-7.47,0,0.0415,0.0439,1.98e-05,0.248,0.714,129.031,audio_features,0aejQCX2muT6Oy9YtRwIso,spotify:track:0aejQCX2muT6Oy9YtRwIso,https://api.spotify.com/v1/tracks/0aejQCX2muT6Oy9YtRwIso,https://api.spotify.com/v1/audio-analysis/0aejQCX2muT6Oy9YtRwIso,155814,4,Freed From Desire,Vendredi
0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3,MIDDLE OF THE NIGHT,Elley Duhé
0.735,0.795,11,-6.523,0,0.113,0.0296,3.18e-05,0.0678,0.905,122.0,audio_features,1nH2PkJL1XoUq8oE6tBZoU,spotify:track:1nH2PkJL1XoUq8oE6tBZoU,https://api.spotify.com/v1/tracks/1nH2PkJL1XoUq8oE6tBZoU,https://api.spotify.com/v1/audio-analysis/1nH2PkJL1XoUq8oE6tBZoU,188918,4,Sacrifice,The Weeknd
0.558,0.0707,2,-22.578,1,0.0432,0.553,0.0,0.0715,0.29,84.686,audio_features,6YWPTC8ZDYxaodCzsdVbQY,spotify:track:6YWPTC8ZDYxaodCzsdVbQY,https://api.spotify.com/v1/tracks/6YWPTC8ZDYxaodCzsdVbQY,https://api.spotify.com/v1/audio-analysis/6YWPTC8ZDYxaodCzsdVbQY,210000,4,Impossible - Acoustic Covers of Popular Songs,Denis Kalytovskyi
0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,audio_features,0QBzMgT7NIeoCYy3sJCof1,spotify:track:0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,206071,4,Bam Bam (feat. Ed Sheeran),Camila Cabello
0.704,0.853,9,-3.667,1,0.0552,0.0674,0.000132,0.0761,0.686,124.025,audio_features,0xR9aWZRyh7EvyHRa4yz1Z,spotify:track:0xR9aWZRyh7EvyHRa4yz1Z,https://api.spotify.com/v1/tracks/0xR9aWZRyh7EvyHRa4yz1Z,https://api.spotify.com/v1/audio-analysis/0xR9aWZRyh7EvyHRa4yz1Z,192385,4,What A Feeling,MOMO Soundz
0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,audio_features,5Z9KJZvQzH6PFmb8SNkxuk,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/tracks/5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/audio-analysis/5Z9KJZvQzH6PFmb8SNkxuk,212353,4,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X
0.697,0.753,1,-8.505,1,0.0891,0.128,0.00174,0.0641,0.607,127.907,audio_features,7DG8KEVZC8cKueUwjdaHHu,spotify:track:7DG8KEVZC8cKueUwjdaHHu,https://api.spotify.com/v1/tracks/7DG8KEVZC8cKueUwjdaHHu,https://api.spotify.com/v1/audio-analysis/7DG8KEVZC8cKueUwjdaHHu,161958,4,Dystopia,James Stikå
0.651,0.425,3,-6.002,1,0.0309,0.879,4.54e-06,0.156,0.302,104.819,audio_features,2qMZmOHsjbveBuEU22hpMd,spotify:track:2qMZmOHsjbveBuEU22hpMd,https://api.spotify.com/v1/tracks/2qMZmOHsjbveBuEU22hpMd,https://api.spotify.com/v1/audio-analysis/2qMZmOHsjbveBuEU22hpMd,169405,4,Crazy - (Acoustic Mix),Vendredi
0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,audio_features,1ri9ZUkBJVFUdgwzCnfcYs,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/tracks/1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/audio-analysis/1ri9ZUkBJVFUdgwzCnfcYs,226088,4,MAMIII,Becky G
0.392,0.253,8,-6.563,0,0.0354,0.746,0.0,0.321,0.368,203.571,audio_features,5qKfR6Pigkzkj0zVw7tJGn,spotify:track:5qKfR6Pigkzkj0zVw7tJGn,https://api.spotify.com/v1/tracks/5qKfR6Pigkzkj0zVw7tJGn,https://api.spotify.com/v1/audio-analysis/5qKfR6Pigkzkj0zVw7tJGn,136471,4,I Want It That Way - Acoustic Covers of Popular Songs,Son&Dad
0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853,4,Shivers,Ed Sheeran
0.72,0.801,3,-4.322,0,0.0356,0.0308,0.0156,0.17,0.592,128.026,audio_features,7IcHXRNwjjV7kyn6qKtyBc,spotify:track:7IcHXRNwjjV7kyn6qKtyBc,https://api.spotify.com/v1/tracks/7IcHXRNwjjV7kyn6qKtyBc,https://api.spotify.com/v1/audio-analysis/7IcHXRNwjjV7kyn6qKtyBc,174352,4,I Just Died in Your Arms,MOMO Soundz
0.922,0.451,9,-6.912,1,0.0612,0.324,0.0105,0.0496,0.649,126.987,audio_features,36O90PhZmnMPk4FHDe2bPz,spotify:track:36O90PhZmnMPk4FHDe2bPz,https://api.spotify.com/v1/tracks/36O90PhZmnMPk4FHDe2bPz,https://api.spotify.com/v1/audio-analysis/36O90PhZmnMPk4FHDe2bPz,190846,4,Take Me Home,MOMO Soundz
0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,audio_features,2B4GHvToeLTOBB4QLzW3Ni,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,https://api.spotify.com/v1/tracks/2B4GHvToeLTOBB4QLzW3Ni,https://api.spotify.com/v1/audio-analysis/2B4GHvToeLTOBB4QLzW3Ni,287120,4,Pepas,Farruko
